"source","term_id","term_name","p_value","term_size","query_size","intersection_size"
"GO:BP","GO:0003208","cardiac ventricle morphogenesis",0.00142736001740743,50,927,11
"GO:BP","GO:0090130","tissue migration",0.00149118493495364,87,927,15
"GO:BP","GO:0086001","cardiac muscle cell action potential",0.00149567184738036,68,927,13
"GO:BP","GO:0051955","regulation of amino acid transport",0.00149567184738036,27,927,8
"GO:BP","GO:0070371","ERK1 and ERK2 cascade",0.00151710981664063,232,927,28
"GO:BP","GO:0034765","regulation of monoatomic ion transmembrane transport",0.00151912976659346,220,927,27
"GO:BP","GO:1901652","response to peptide",0.00155622357950597,761,927,67
"GO:BP","GO:0098739","import across plasma membrane",0.00156623842687949,185,927,24
"GO:BP","GO:0006812","monoatomic cation transport",0.001575446150526,776,927,68
"GO:BP","GO:0045137","development of primary sexual characteristics",0.00163468161390913,174,927,23
"GO:BP","GO:0033002","muscle cell proliferation",0.00168722017501306,163,927,22
"GO:BP","GO:0001890","placenta development",0.00168722017501306,119,927,18
"GO:BP","GO:0050679","positive regulation of epithelial cell proliferation",0.00168722017501306,163,927,22
"GO:BP","GO:0043434","response to peptide hormone",0.00173068140492561,374,927,39
"GO:BP","GO:0034308","primary alcohol metabolic process",0.00182301382980434,79,927,14
"GO:BP","GO:0055074","calcium ion homeostasis",0.0018283735419713,164,927,22
"GO:BP","GO:0007584","response to nutrient",0.00185944184266138,120,927,18
"GO:BP","GO:0040008","regulation of growth",0.00185944184266138,497,927,48
"GO:BP","GO:0019216","regulation of lipid metabolic process",0.00185944184266138,260,927,30
"GO:BP","GO:0032868","response to insulin",0.00185944184266138,260,927,30
"GO:BP","GO:0014850","response to muscle activity",0.00188786929395367,28,927,8
"GO:BP","GO:0035150","regulation of tube size",0.00193706485372272,110,927,17
"GO:BP","GO:0097191","extrinsic apoptotic signaling pathway",0.00193706485372272,200,927,25
"GO:BP","GO:0097746","blood vessel diameter maintenance",0.00193706485372272,110,927,17
"GO:BP","GO:0042445","hormone metabolic process",0.00193706485372272,165,927,22
"GO:BP","GO:0035296","regulation of tube diameter",0.00193706485372272,110,927,17
"GO:BP","GO:0045598","regulation of fat cell differentiation",0.00193706485372272,110,927,17
"GO:BP","GO:0042310","vasoconstriction",0.00196099193471677,61,927,12
"GO:BP","GO:0021610","facial nerve morphogenesis",0.00197808813858206,10,927,5
"GO:BP","GO:0021561","facial nerve development",0.00197808813858206,10,927,5
"GO:BP","GO:0050767","regulation of neurogenesis",0.00204245574574469,287,927,32
"GO:BP","GO:0050680","negative regulation of epithelial cell proliferation",0.00211643225883204,111,927,17
"GO:BP","GO:0015849","organic acid transport",0.00211643225883204,250,927,29
"GO:BP","GO:0046942","carboxylic acid transport",0.00211643225883204,250,927,29
"GO:BP","GO:0002685","regulation of leukocyte migration",0.00214202214862996,178,927,23
"GO:BP","GO:0061138","morphogenesis of a branching epithelium",0.00214202214862996,155,927,21
"GO:BP","GO:1901701","cellular response to oxygen-containing compound",0.00220192727971705,935,927,78
"GO:BP","GO:0002684","positive regulation of immune system process",0.002332633303708,818,927,70
"GO:BP","GO:0042417","dopamine metabolic process",0.00235029130468469,29,927,8
"GO:BP","GO:0044344","cellular response to fibroblast growth factor stimulus",0.00240120548011234,123,927,18
"GO:BP","GO:0031214","biomineral tissue development",0.0024099234354903,134,927,19
"GO:BP","GO:0050900","leukocyte migration",0.00251799116921133,278,927,31
"GO:BP","GO:0006796","phosphate-containing compound metabolic process",0.00252310940158889,1907,927,140
"GO:BP","GO:0019725","cellular homeostasis",0.00252845283283046,575,927,53
"GO:BP","GO:0001649","osteoblast differentiation",0.00252845283283046,204,927,25
"GO:BP","GO:0090190","positive regulation of branching involved in ureteric bud morphogenesis",0.00254249518376153,16,927,6
"GO:BP","GO:0032891","negative regulation of organic acid transport",0.00254249518376153,16,927,6
"GO:BP","GO:0051051","negative regulation of transport",0.00254472736512395,317,927,34
"GO:BP","GO:0051179","localization",0.00254472736512395,4321,927,284
"GO:BP","GO:0010657","muscle cell apoptotic process",0.00254472736512395,63,927,12
"GO:BP","GO:0051924","regulation of calcium ion transport",0.00257435719638272,169,927,22
"GO:BP","GO:0006793","phosphorus metabolic process",0.00257847613672557,1909,927,140
"GO:BP","GO:0010810","regulation of cell-substrate adhesion",0.00263003375873917,181,927,23
"GO:BP","GO:0006816","calcium ion transport",0.00267318946110308,318,927,34
"GO:BP","GO:1901342","regulation of vasculature development",0.00270566573649431,242,927,28
"GO:BP","GO:1902105","regulation of leukocyte differentiation",0.00270566573649431,242,927,28
"GO:BP","GO:0010628","positive regulation of gene expression",0.00272046732914536,898,927,75
"GO:BP","GO:0001501","skeletal system development",0.00279566375927453,439,927,43
"GO:BP","GO:0010721","negative regulation of cell development",0.00282716025906404,194,927,24
"GO:BP","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation",0.00282716025906404,46,927,10
"GO:BP","GO:0019229","regulation of vasoconstriction",0.00282716025906404,46,927,10
"GO:BP","GO:0060560","developmental growth involved in morphogenesis",0.00282716025906404,194,927,24
"GO:BP","GO:0050974","detection of mechanical stimulus involved in sensory perception",0.00284941323480621,30,927,8
"GO:BP","GO:0008406","gonad development",0.00295060174132393,171,927,22
"GO:BP","GO:0045776","negative regulation of blood pressure",0.00297403844159002,23,927,7
"GO:BP","GO:0045667","regulation of osteoblast differentiation",0.00300477401673947,115,927,17
"GO:BP","GO:0035265","organ growth",0.00300477401673947,137,927,19
"GO:BP","GO:0060737","prostate gland morphogenetic growth",0.00300477401673947,3,927,3
"GO:BP","GO:0046849","bone remodeling",0.00301040727246468,74,927,13
"GO:BP","GO:0014896","muscle hypertrophy",0.00301040727246468,74,927,13
"GO:BP","GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors",0.00301040727246468,74,927,13
"GO:BP","GO:0030097","hemopoiesis",0.00301071218098844,754,927,65
"GO:BP","GO:0030098","lymphocyte differentiation",0.00303910895242997,308,927,33
"GO:BP","GO:0051962","positive regulation of nervous system development",0.00312353948033729,220,927,26
"GO:BP","GO:0070372","regulation of ERK1 and ERK2 cascade",0.00316353150837467,208,927,25
"GO:BP","GO:0071396","cellular response to lipid",0.00316804755011523,470,927,45
"GO:BP","GO:0007507","heart development",0.00319772384447024,498,927,47
"GO:BP","GO:0098657","import into cell",0.00322867278322126,771,927,66
"GO:BP","GO:0019233","sensory perception of pain",0.00334173294125676,56,927,11
"GO:BP","GO:0006721","terpenoid metabolic process",0.0033800969361228,75,927,13
"GO:BP","GO:0002762","negative regulation of myeloid leukocyte differentiation",0.00349809657446917,39,927,9
"GO:BP","GO:0009712","catechol-containing compound metabolic process",0.00349809657446917,39,927,9
"GO:BP","GO:0002009","morphogenesis of an epithelium",0.00349809657446917,404,927,40
"GO:BP","GO:0002686","negative regulation of leukocyte migration",0.00349809657446917,39,927,9
"GO:BP","GO:0006584","catecholamine metabolic process",0.00349809657446917,39,927,9
"GO:BP","GO:0071774","response to fibroblast growth factor",0.00353544755172322,128,927,18
"GO:BP","GO:0043542","endothelial cell migration",0.00360389559925873,198,927,24
"GO:BP","GO:0051174","regulation of phosphorus metabolic process",0.00371056300200086,601,927,54
"GO:BP","GO:0043549","regulation of kinase activity",0.00371056300200086,299,927,32
"GO:BP","GO:0051234","establishment of localization",0.00371450428516628,3714,927,247
"GO:BP","GO:0042573","retinoic acid metabolic process",0.0037340999010742,24,927,7
"GO:BP","GO:0030030","cell projection organization",0.00375869682563022,1356,927,104
"GO:BP","GO:0007423","sensory organ development",0.00378401361422145,447,927,43
"GO:BP","GO:0048644","muscle organ morphogenesis",0.00378851757105587,57,927,11
"GO:BP","GO:0050867","positive regulation of cell activation",0.00382735750590654,274,927,30
"GO:BP","GO:0110053","regulation of actin filament organization",0.00382735750590654,236,927,27
"GO:BP","GO:0050804","modulation of chemical synaptic transmission",0.00385633306578126,366,927,37
"GO:BP","GO:0061448","connective tissue development",0.00390957505820928,249,927,28
"GO:BP","GO:0046879","hormone secretion",0.00390957505820928,224,927,26
"GO:BP","GO:0002696","positive regulation of leukocyte activation",0.00398131611405517,262,927,29
"GO:BP","GO:0045637","regulation of myeloid cell differentiation",0.00399704600042304,164,927,21
"GO:BP","GO:0099177","regulation of trans-synaptic signaling",0.00401933273213855,367,927,37
"GO:BP","GO:0033273","response to vitamin",0.00406005024525333,67,927,12
"GO:BP","GO:0061383","trabecula morphogenesis",0.00407955630863113,40,927,9
"GO:BP","GO:0043534","blood vessel endothelial cell migration",0.00407955630863113,108,927,16
"GO:BP","GO:0010634","positive regulation of epithelial cell migration",0.00407955630863113,40,927,9
"GO:BP","GO:0034097","response to cytokine",0.00408703250037319,750,927,64
"GO:BP","GO:0002040","sprouting angiogenesis",0.00411092992290891,119,927,17
