"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Geneid"
1.56371569465813,0.184288811379209,1.36898856492583,0.13461676459598,0.892914886032761,NA,"ENSG00000296998.1"
2.40388937646106,0.263992281345996,1.32916499574565,0.198615132200273,0.842563815652717,NA,"ENSG00000301998.1"
3.59322975014041,-0.40082589155579,1.00304725738234,-0.399608182571404,0.689445128706818,NA,"ENSG00000267079.2"
4.1099680162991,-0.405226026419747,0.888643121409573,-0.456005359921061,0.648386123918283,NA,"ENSG00000267533.1"
1.68055834438719,2.90923964363033,1.75769369172338,1.65514597755533,0.0978948903923087,NA,"ENSG00000289550.2"
2.51718172972586,0.82006612579953,1.18351189838223,0.692909067429316,0.488366618956098,NA,"ENSG00000267069.4"
2.0199280399082,0.571621269508985,1.45082528994179,0.393997315508555,0.693583021187471,NA,"ENSG00000280302.1"
5.07700925389747,-0.147200752842348,0.798188919221799,-0.184418436910729,0.853685207306284,NA,"ENSG00000267249.1"
1.24856050581498,0.456157520426049,2.09771100908478,0.217454891760838,0.82785385702261,NA,"ENSG00000260302.4"
1.61709774241152,0.733156537431467,1.60920391727636,0.455602008894164,0.648676198294533,NA,"ENSG00000267570.1"
1.84695611801204,0.154169440458594,1.26394534560306,0.121974768129737,0.902919001154328,NA,"ENSG00000267336.1"
1.98955446947142,-0.913608198746453,1.36672525056442,-0.668465149355481,0.503836720866584,NA,"ENSG00000168675.21"
1.476544880559,-0.688407969514027,1.47021802215285,-0.468235295133975,0.639616334452896,NA,"ENSG00000279352.1"
1.46838996658564,-0.972731571568152,1.77999306857817,-0.546480539019825,0.584735661477146,NA,"ENSG00000293697.2"
3.81767373246801,0.703827236022839,0.928184843677569,0.758283482882783,0.448281293123991,NA,"ENSG00000266145.1"
1.87649841679711,1.79953225568558,1.37353724311545,1.31014449350051,0.190146959001469,NA,"ENSG00000265437.1"
3.55161256372583,-1.25523968437815,1.18124550207099,-1.06264081613638,0.287944869735405,NA,"ENSG00000187589.8"
1.21538559661925,-0.738917170913129,1.83451730435944,-0.402785609684471,0.687105948322195,NA,"ENSG00000286593.1"
2.33717512685678,-0.20604811446107,1.25641422961699,-0.163996960241276,0.869733536790014,NA,"ENSG00000264570.1"
5.26381420442931,-0.509814280655065,0.873411018437509,-0.583704887954239,0.559418878111889,NA,"ENSG00000180777.17"
3.43985849692716,-1.68330732918956,1.27558579298254,-1.31963474228863,0.186956997471092,NA,"ENSG00000266554.3"
2.63680359888799,1.67207268360051,1.3699030678693,1.22057736990194,0.222246078946652,NA,"ENSG00000141449.18"
1.43552462727392,0.175002264666152,1.55802336899476,0.112323260452161,0.910567099331975,NA,"ENSG00000264188.1"
3.20286830367097,1.50689861916267,1.10021544680434,1.36963957699338,0.170799438849788,NA,"ENSG00000265142.9"
1.79999969325587,0.890455966530885,1.41480440858155,0.629384500875025,0.529097362414618,NA,"ENSG00000264012.1"
1.44973801151766,0.600052849837489,1.71181337841701,0.350536371197416,0.725936199221354,NA,"ENSG00000212710.5"
5.05586547341638,0.0878278112333708,0.856761962541188,0.102511333454709,0.918350817445337,NA,"ENSG00000265939.1"
2.40259595744417,1.0727865565142,1.30362443816842,0.822926085998706,0.410550027342534,NA,"ENSG00000264924.1"
5.11829035011219,-0.183070596395109,0.792010602603398,-0.231146648533924,0.817200875928247,NA,"ENSG00000265750.1"
1.34717983203667,0.840839664688011,1.88878849818991,0.445174070836314,0.656193963385074,NA,"ENSG00000273321.1"
1.95835616644469,-0.675864326956509,1.52339790539527,-0.443655806905645,0.657291451221106,NA,"ENSG00000134489.8"
1.72993711078795,-0.583206990465431,1.3993950536545,-0.416756504135409,0.67685652012441,NA,"ENSG00000266296.1"
1.28750929355762,2.13847221722419,1.69318142897577,1.26299059310955,0.206592560381525,NA,"ENSG00000302813.1"
3.61355937390871,-1.60601720893967,1.18778122654226,-1.3521153332377,0.176338422928657,NA,"ENSG00000134755.21"
1.27528355264829,-1.41412363121536,1.69415498436641,-0.834707358101731,0.403882497731181,NA,"ENSG00000289064.2"
1.59474637953864,1.26181481902748,1.58771588085673,0.794735905990055,0.426767141237364,NA,"ENSG00000265273.1"
3.64916462345496,-1.3329933725136,1.06817789993864,-1.24791326668542,0.212062821678835,NA,"ENSG00000295007.1"
2.54212943643189,-1.76372063975039,1.22096964154442,-1.44452456452516,0.148591475022427,NA,"ENSG00000274184.1"
1.59771067199701,0.34153469607353,1.33899366362268,0.255068194385251,0.79867042903888,NA,"ENSG00000308423.1"
3.86844932595669,1.94978614554088,1.10697015211789,1.76137192300126,0.0781754739740326,NA,"ENSG00000267397.1"
2.2897622692719,-0.674701332312776,1.25884277704552,-0.535969498825173,0.591979630644656,NA,"ENSG00000278986.1"
1.27109743333279,-1.61765889271328,1.81090538203648,-0.893287362641838,0.371703303786909,NA,"ENSG00000267404.1"
1.64798043796894,-1.93205548942654,1.58681510622383,-1.21756812236574,0.223388134447946,NA,"ENSG00000101489.22"
1.17039892234253,-2.29184208400943,1.93757594205967,-1.18283987443257,0.23687261423004,NA,"ENSG00000267707.2"
1.52333009153753,-0.223398231930262,1.91091444938444,-0.11690645387198,0.906934183776334,NA,"ENSG00000286844.2"
1.38609111469325,-1.37117827106903,1.81261516202907,-0.756464085588973,0.449370997400002,NA,"ENSG00000294482.1"
2.34485043978819,-1.81126882069763,1.28712440906957,-1.40722125066912,0.159361792113873,NA,"ENSG00000267313.8"
2.69359336448336,-0.438559233903908,1.10685622411699,-0.396220596991966,0.691942297889301,NA,"ENSG00000276174.1"
1.40008715591959,-0.210661673768858,1.51169950531513,-0.139354199050917,0.889170262998125,NA,"ENSG00000267586.8"
